Code,Label
sid=&amp;ring=hentff98&amp;id=&amp;list,0
ring=yaoi28,0
mode=navigation&amp;categoryid=1141,0
lang=en,0
ring=bettie,0
cid=1691,0
ring=sgslash,0
ring=snape_slash_fleet;action=info;b=,0
ring=harrypotterforad,0
usernum=1934660440&amp;action=list&amp;siteid=,0
ring=slashrecs&amp;id=26&amp;hub,0
ring=aragornandlegola,0
ring=jedigrrls&amp;id=7&amp;list,0
ring=forceboyz;action=list,0
ring=hockeyfanficwrit&amp;id=2&amp;hub,0
ring=altxenafanfic,0
ring=difsubtext,0
ring=aressmut;action=info;b=,0
ring=invisiblemanslas,0
ring=mfuslash;action=info;b=,0
ring=smallvilleslash;action=info;b=,0
ring=smallvilleslash,0
ring=soapfanfictionri,0
ring=dsn;list,0
ring=sttng;action=info;b=,0
usernum=3614006703,0
ring=pkslash;action=info;b=,0
ring=stvoy;action=info;b=,0
ring=cpslash;action=info;b=,0
ring=treksmutu,0
ring=thenewstartreksl,0
ring=jdan,0
ring=shushstarskyandh,0
ring=mskring,0
ring=spenderficwriter&amp;list,0
ring=skinnerscully&amp;list,0
ring=doggettandscully,0
ring=skk,0
ring=msrring,0
file=/eguide/archive/1999/09/30/neva.dtl,0
ring=adultfic&amp;list,0
ring=nfic,0
ring=kinkslashring,0
ring=maturefanfiction,0
ring=pbslash,0
ring=slashrecs,0
ring=multiverseslashr,0
ring=slash;action=info;b=,0
id=6,0
user=submissiveblog,0
filter=sexfessions,0
fuseaction=viewauthors&amp;sortby=name,0
ring=literotica;action=info;b=,0
ring=eros&amp;id=190&amp;hub,0
ring=justforladies&amp;id=1&amp;hub,0
ring=writerssoul&amp;id=40&amp;hub,0
ring=amateurerotica&amp;id=35&amp;hub,0
ring=eroticring&amp;id=7&amp;hub,0
ring=communiqueerotiq&amp;id=11&amp;hub,0
ring=weberotica&amp;id=53&amp;hub,0
goto=charlie_hc_car_ol,0
ring=worlderotica&amp;list,0
action=info&amp;ring=hentracks,0
ring=escorts,0
sid=&amp;ring=escorts4you&amp;id=&amp;list,0
ring=maleescort2;list,0
ring=malescort;list,0
ring=exclusive_id;list,0
ring=laescort,0
ring=maleescort;list,0
ring=exclusive_;list,0
page=become-a-distributor,0
sid=00/04/13/1939221&amp;mode=nested,0
&amp;filter=a,0
c=3,0
win=zb980site,0
revid=22107,0
ids=20468,0
ring=thongbikini;action=list,0
ring=erotica29,0
ring=gg2642,0
x=0,0
loc=th,0
loc=idx&amp;lng=2,0
chlang=1,0
ring=uk_pro_domme;id=0;action=list,0
-ladyursula-&amp;http://mysite.ifriends.net/-ladyursula-/,0
id=1049,0
prov=on;city=toronto,0
adultindex,0
dest=%2fgroup%2falaskabound%2f,0
screen=ctgy&amp;store_code=fret&amp;category_code=200_gp,0
fuseaction=dsp_city&amp;c_city=hollywood,0
language=en,0
type=1&amp;cid=330,0
c=3&amp;v=3&amp;sn=1,0
id=00192&amp;search=valley,0
catlvl=2&amp;catid=21,0
page=asmfaq.html,0
dest=%2fgroup%2fblackerotica%2f,0
